Urban,Siblings,White,Christian,FamilySize,Height,Weight,Income
1,8,1,1,5,62,120,0
1,1,1,1,4,64,200,40000
1,1,1,1,3,65,131,25000
0,7,1,0,3,65,179,27400
1,4,1,1,6,66,145,52000
1,1,1,1,3,71,155,55000
1,2,1,1,5,71,180,60000
1,2,1,1,5,67,135,48000
1,1,1,1,4,73,185,0
0,3,1,1,4,63,130,38000
1,2,1,0,2,69,160,48000
1,2,1,0,1,69,155,120000
1,2,1,1,5,,120,52000
1,2,1,1,5,62,133,82000
1,1,1,1,4,64,110,36000
1,1,1,0,3,67,125,20000
1,1,1,1,4,63,123,
1,1,1,0,4,65,114,24000
1,1,1,0,4,67,146,50000
1,1,1,0,4,64,147,0
1,2,0,1,4,68,150,26000
1,5,1,0,4,70,185,35000
0,3,1,1,5,72,225,0
1,4,1,1,4,67,124,13000
1,4,1,1,4,64,108,44000
1,,1,1,4,71,170,57000
1,2,1,1,3,67,175,0
1,3,1,1,3,74,230,115000
1,1,0,1,4,71,210,50000
1,2,0,0,5,67,130,6000
1,4,1,1,4,64,105,0
1,0,1,1,3,62,115,30000
1,1,1,0,3,73,190,65000
1,6,1,1,2,69,135,33361
0,4,1,1,4,65,170,27000
0,3,0,1,7,69,237,1200
1,3,1,1,2,73,195,40000
0,1,1,1,2,67,128,2500
1,2,1,1,5,62,130,43000
1,2,0,1,5,69,190,31000
0,2,0,1,5,71,190,50000
1,3,1,1,4,65,120,40000
0,3,1,1,4,70,175,34000
1,3,1,1,3,70,160,115000
1,1,1,0,4,69,130,0
1,1,0,1,4,73,155,70000
1,2,1,1,3,65,,36000
1,2,1,1,4,70,179,216200
1,3,1,0,5,64,115,30000
1,3,0,0,5,73,160,30000
1,1,1,1,4,63,125,
1,2,1,1,5,71,160,216200
0,5,1,1,4,67,130,15500
1,5,1,1,4,69,170,11000
1,3,0,1,7,71,185,0
0,2,1,1,4,65,125,20000
1,2,1,1,1,64,122,38000
1,7,1,1,1,66,134,28000
1,2,1,1,1,63,125,0
1,2,1,0,2,64,120,43000
